,id,name,county,state_code,state,zip_codes,type,population,median_income
29201,35862,North Middleton,Cumberland County,PA,Pennsylvania,17013 / 17015,Township,11558,65221
506,16296,Algoma,Kent County,MI,Michigan,49319 / 49321 / 49341 / 49345,Township,11546,76399
5551,22274,Byram,Hinds County,MS,Mississippi,39170 / 39212 / 39272,City,11545,55891
33637,32018,Ravenna,Portage County,OH,Ohio,44266,City,11533,36301
39894,29920,Tarrytown,Westchester County,NY,New York,10533 / 10591,Village,11532,102750
38042,38656,Spearfish,Lawrence County,SD,South Dakota,57717 / 57783 / 57793 / 57799,City,11531,43046
16347,26953,Greentree,Camden County,NJ,New Jersey,08003 / 08034,CDP,11529,115903
21332,2661,La Riviera,Sacramento County,CA,California,95826 / 95827,CDP,11529,57138
30460,6686,Oskaloosa,Mahaska County,IA,Iowa,52577,City,11523,40016
40175,18012,Thomas,Saginaw County,MI,Michigan,48609 / 48623 / 48626,Township,11523,55488
12799,21274,Excelsior Springs,Clay County / Ray County,MO,Missouri,64024,City,11522,50051
6620,43292,Cedarburg,Ozaukee County,WI,Wisconsin,53012,City,11518,72098
7862,10296,Cleveland,Elkhart County,IN,Indiana,46514 / 46530 / 46561,Township,11517,49321
11498,34630,East Whiteland,Chester County,PA,Pennsylvania,19341 / 19345 / 19355,Township,11517,91109
34606,40672,Robstown,Nueces County,TX,Texas,78380,City,11517,30900
18518,17140,Holly,Oakland County,MI,Michigan,48430 / 48439 / 48442,Township,11514,60960
1980,30276,Bainbridge,Geauga County,OH,Ohio,44022 / 44023 / 44202,Township,11509,105602
4904,14226,Broussard,Lafayette Parish / St. Martin Parish,LA,Louisiana,70508 / 70517 / 70518 / 70592,City,11507,66124
9561,22314,D'Iberville,Harrison County,MS,Mississippi,39532 / 39540,City,11503,44784
41448,36800,Upper Uwchlan,Chester County,PA,Pennsylvania,19335 / 19341 / 19343 / 19425,Township,11500,150269
36990,36388,Shiloh,York County,PA,Pennsylvania,17404 / 17408,CDP,11493,62813
34600,40671,Robinson,McLennan County,TX,Texas,76655 / 76706 / 76712,City,11493,72943
45418,37119,Yeadon,Delaware County,PA,Pennsylvania,19050,Borough,11493,51274
16665,32999,Guthrie,Logan County,OK,Oklahoma,73007 / 73025 / 73034 / 73044,City,11492,41267
37583,14086,Somerset,Pulaski County,KY,Kentucky,42501 / 42502 / 42503 / 42533 / 42564,City,11487,26411
37928,15080,South Yarmouth,Barnstable County,MA,Massachusetts,02664 / 02673,CDP,11482,51942
2901,26740,Bellmawr,Camden County,NJ,New Jersey,08031 / 08099,Borough,11478,50784
36441,42849,Sedro-Woolley,Skagit County,WA,Washington,98284,City,11476,41652
24362,2749,Magalia,Butte County,CA,California,95954,CDP,11467,41289
9314,38992,Crossville,Cumberland County,TN,Tennessee,38555 / 38557 / 38558 / 38571 / 38572,City,11455,26364
24479,42679,Maltby,Snohomish County,WA,Washington,98021 / 98072 / 98077 / 98296,CDP,11447,103584
7511,2191,Citrus,Los Angeles County,CA,California,91702 / 91722 / 91740,CDP,11446,60553
32755,4974,Port St. John,Brevard County,FL,Florida,32927,CDP,11444,49042
11222,16806,East Bay,Grand Traverse County,MI,Michigan,49686 / 49690,Township,11441,62559
8313,38977,Collegedale,Hamilton County,TN,Tennessee,37302 / 37315 / 37353 / 37363,City,11437,51587
18275,2528,Hillsborough,San Mateo County,CA,California,94010,Town,11431,229097
4448,21015,Branson,Stone County / Taney County,MO,Missouri,65615 / 65616,City,11430,40303
24488,29159,Mamakating,Sullivan County,NY,New York,10940 / 12483 / 12566 / 12721 / 12722 / 12763 / 12769 / 12777 / 12781 / 12785 / 12790,Town,11426,53750
42247,5992,Waipio,Honolulu County,HI,Hawaii,96797,CDP,11424,74085
16710,26964,Haddonfield,Camden County,NJ,New Jersey,8033,Borough,11424,128440
